video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=BctBD9xrpB4&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@Truongfamilyadventures,Truong Family Adventures,"Hoi An Ancient Town, Vietnam 🇻🇳 WATCH This BEFORE You Go | Vietnam Travel Guide Vlog",4.7K,1 year,Truongfamilyadventures visited Hoi An Ancient town during the day time for the first time ever. The experience was kind of ...,2026-01-21 22:43:57.446054
/watch?v=vYLhDwXj-dY&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@traveleatvietnam,Travel Eat Vietnam,Where to Stay in Hoi An: Best Areas Near Ancient Town (2025 Guide!),29K,9 months,"Hoi An is one of Vietnam's most popular destinations. In this video, I'm going to share the best areas to stay near Hoi An's Old ...",2026-01-21 22:43:57.449532
/watch?v=YU9gatkUtpM&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/channel/UC5WrayTqmGntbnsp6ZPzFbA,Powell Lumor,🔥 Hoi An After the Floods 🇻🇳 What It’s Really Like Now (Walking Tour),3.6K,2 months,"Hoi An, Vietnam is finally back to normal after the recent floods — and it's absolutely beautiful again! In this 4K virtual walking ...",2026-01-21 22:43:57.451223
/watch?v=tM__UP9O_F0&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@travelvietnam4k,TRAVEL VIETNAM 4K,"Hoi An, Vietnam | City Walk | Walking Tour of Market & Tourist Area | 4K 60fps",5.9K,3 months,"vietnam #travel #walkingtour Hoi An, Vietnam | City Walk | Walking Tour of Market & Tourist Area | 4K 60fps Start your morning ...",2026-01-21 22:43:57.452540
/watch?v=ujlQWRx5_g4&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@PuriandSue,Puri and Sue,"15 Vietnamese Street Food in Hoi An and Da Nang, Vietnam | What to Eat in Hoi An and Da Nang in 5D4N",189K,2 years,Hoi An and Da Nang are two popular travel destinations located in Central Vietnam. One of the highlights of our trip was ...,2026-01-21 22:43:57.454748
/watch?v=IsUMJwASZlY&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@dobochobo,dobochobo,"solo travel vlog // eating my way through danang & hoi an, learning to enjoy my own company",100K,1 year,"welcome to pt.2 of my solo travel series! i traveled from hanoi to da nang and spent a couple of days exploring the city, cafe ...",2026-01-21 22:43:57.456232
/watch?v=qreuL3rFyLY&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@TravelwithTanyaandSimon,Travel with Tanya and Simon,Hoi An After the Flood | What The Town Looks Like Today 21November #hoian #hoianflood #vietnamtravel,7.2K,2 months,Hoi An just experienced its fourth flood in a month. Today we're sharing the real aftermath and the incredible community effort ...,2026-01-21 22:43:57.457406
/watch?v=PD0ldizaVA0&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@3Vinos,3Vino's Adventures,Hoi An Vietnam by Day and Night.   1080WebShareName,No,13 hours,"1. For those who visit Hoi An Ancient Town for the first time 1.1. Introduction to Hoi An ancient town Next to the Thu Bon River, Hoi ...",2026-01-21 22:43:57.458915
/watch?v=TeeU6JIAZl4&pp=ygUOSG9pIEFuIFZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@RobandTali,Rob and Tali,Why HOI AN is Vietnam's BEST CITY to RETIRE as a FOREIGNER,21K,9 months,Are you considering retiring or living long term in Vietnam and wondering where the ideal location is for the best expat lifestyle?,2026-01-21 22:43:57.460520
/watch?v=oEjk7LIfhKo&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@thelaftee,LAFTEE,"Hoi An, Vietnam Update: Worst Storm/Flood (Tropical Storm Fengshen) since 1964 (Hoi An is back!)",2.7K,2 months,"This is my final update video regarding Hoi An, Vietnam related to Tropical Storm Fengshen. It was a typhoon like storm that swept ...",2026-01-21 22:43:57.462124
/watch?v=DN4dAXotH6s&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@adventuretourstravel,Adventure Tours Travel,Hoi An Vietnam - Why Everyone Is OBSESSED with this town! 🇻🇳,41K,6 months,"Hoi An, Vietnam: Timeless Charm + Our New Travel Flip Book Reveal! Adventure Tours Travel Join Cheryl as she guides us ...",2026-01-21 22:43:57.463422
/watch?v=uiCokR91NhU&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@RaisingVoyagers,Raising Voyagers,Best thing to do in Hoi An Vietnam (river boat ride),13K,6 years,"Hoi An Vietnam has been such a magical city to visit. In our last video, we finally decide to give into the most touristy activity in Hoi ...",2026-01-21 22:43:57.465022
/watch?v=ffCrNCXmPh8&pp=ygUOSG9pIEFuIFZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@JmBanquicio,Jm Banquicio,Let’s explore the Charming Old Town of Hoi An + Watch an Ao Dai Traditional Vietnamese Show! 🇻🇳,29K,2 years,For KLOOK hotels & activities: Book through this link: https://bit.ly/3D3oq4w and use my code JMBANQUICIO to get 5% off on ...,2026-01-21 22:43:57.466217
/watch?v=S5ki5ywaELg&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@ayngelina,Ayngelina,HOI AN Changed My Mind 🇻🇳 Why I’m Thinking About Moving Here,8.6K,6 months,"Why I want to live in Hoi An after visiting a second time. Two years after visiting Hoi An's famous ancient town, we returned to ...",2026-01-21 22:43:57.469434
